"";"ID";"anio";"mes";"dpto";"region_4";"e26";"e27";"e29_6";"e36";"e49";"e202";"e197_1";"e51_2";"e51_3";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_4_a";"e51_4_b";"e51_5";"e51_6";"e51_8";"e51_9";"e51_10";"e51_11";"e224_1";"f85";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"pobpcoac";"pt1";"pt2";"pt4";"edu";"exp";"lpt1";"lpt4";"exp2"
"107";121;2021;7;1;1;1;34;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;6;0;0;0;40;2;2;2;1;1;2;141094;141093,5;141094;18;10;11,8571780701604;11,8571780701604;100
"108";121;2021;7;1;1;2;34;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;6;0;0;0;35;2;2;2;1;2;2;125094;124093,5;124094;18;10;11,7368167366719;11,7287905927057;100
"109";122;2021;7;1;1;2;58;3;2;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;40;2;1;2;1;9;2;39594;33093,5;33094;17;35;10,5864202423558;10,4070921674588;1225
"110";123;2021;7;1;1;1;38;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;4;0;0;45;2;2;2;1;1;2;74094;74093,5;74094;16;16;11,2130830881384;11,2130830881384;256
"111";126;2021;7;1;1;1;62;3;2;1;0;1;6;0;1;0;1;0;3;0;3;0;0;2;0;0;0;35;2;2;2;2;2;2;185594;183093,5;183094;14;42;12,1313140771692;12,1177522303055;1764
"112";127;2021;7;1;1;1;61;4;3;1;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2;2;2;1;9;2;17440;15000;15000;5;50;9,76652169746297;9,61580548008435;2500
"113";129;2021;7;1;1;2;48;3;1;1;0;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;36;2;2;2;1;1;2;42294;41493,5;41494;10;32;10,6523886889242;10,6332920674456;1024
"114";130;2021;7;1;1;2;18;3;5;1;4;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;44;2;2;2;2;1;2;28094;28093,5;28094;10;2;10,243293511838;10,243293511838;4
"115";131;2021;7;1;1;1;62;1;1;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;2;2;2;1;1;2;27094;27093,5;27094;6;50;10,2070491257001;10,2070491257001;2500
"116";131;2021;7;1;1;1;26;1;5;1;2;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;44;2;2;2;1;1;2;34494;34493,5;34494;10;10;10,4485261794717;10,4485261794717;100
