dog_name,birth_year,gender,breed,zipcode
BULLY,2010,M,American Pit Bull Terrier/Pit Bull,11419
RILEY,2006,M,Miniature Pinscher,10306
LEYLA,2013,F,Yorkshire Terrier,11368
BUNNY,2014,F,Chihuahua,10013
SNOWFLAKE,2011,F,Yorkshire Terrier,11354
SPARKY,2005,M,Tibetan Spaniel,10455
COCO,2005,M,Labrador Retriever,11692
BEAN,2014,F,Siberian Husky,10018
OTIS,2011,F,Labrador Retriever,10010
BB,2005,M,Unknown,11364
CHLOE,2010,F,Cavalier King Charles Spaniel,11385
HITCHCOCK,2008,M,Havanese,11215
LEO,2014,M,Cavalier King Charles Spaniel,11101
PRECIOUS,2002,F,Chihuahua,10075
RUGBY,2011,M,"Bull Dog, English",11102
LEYLA,2006,F,Beagle,10075
RUBY,2010,F,Shih Tzu,10310
OLIVER,2012,M,Unknown,11215
GRETZKY,2012,M,Unknown,11377
FELIX,2010,M,Toy Fox Terrier,10014
KUBRICK,2007,M,Havanese,11215
FINLEY,2012,F,Australian Shepherd,11201
SKI,2012,F,American Pit Bull Terrier/Pit Bull,11691
MILKTEA,2010,M,Bichon Frise,11354
WINTER,2014,F,Shih Tzu,11233
LOLA,2011,F,Beagle Crossbreed,11109
JUNIOR,2014,M,Pekingese,10462
COOPER,2011,M,Australian Shepherd,11222
LOLA,2012,F,Portuguese Podengo Pequeno,11201
KOKO,2005,F,Pomeranian,11205
ARBY,2009,M,Italian Greyhound,7030
MIA,2012,F,Shih Tzu,11374
BELLA,2011,F,Australian Shepherd,11222
SEBASTIAN,2008,M,"Shar-Pei, Chinese",10036
GRAZIO,2013,M,Yorkshire Terrier,10019
